Rank,Title,Employees,CEO,CEO_Title,Sector,Industry,Years_on_Fortune_500_List,City,State,Latitude,Longitude,Revenues,Revenue_Change,Profits,Profit_Change,Assets,Mkt_Value,Symbol
1,Walmart,2300000,C. Douglas McMillon,"President, Chief Executive Officer &  Director",Retailing,General Merchandisers,24,Bentonville,AR,36.3728538,-94.2088172,500343,3,9862,27.7,204522,263563,WMT
2,Exxon Mobil,71200,Darren W. Woods,Chairman &  Chief Executive Officer,Energy,Petroleum Refining,24,Irving,TX,32.8140177,-96.9488945,244363,17.4,19710,151.4,348691,316157,XOM
3,Berkshire Hathaway,377000,Warren E. Buffett,"Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),24,Omaha,NE,41.2565369,-95.9345034,242137,8.3,44940,86.7,702095,492008,BRK.B
4,Apple,123000,Timothy D. Cook,Chairman &  Chief Executive Officer,Technology,"Computers, Office Equipment",24,Cupertino,CA,37.3229978,-122.0321823,229234,6.3,48351,5.8,375319,851318,AAPL
5,Unitedhealth Group,260000,David S. Wichmann,Chairman &  Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,24,Minnetonka,MN,44.9211836,-93.4687489,201159,8.8,10558,50.5,139058,207080,
6,Mckesson,64500,John H. Hammergren,"Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Health Care,24,SF,CA,37.7749295,-122.4194155,198533,3.1,5070,124.5,60969,29067,MCK
7,Cvs Health,203000,Larry J. Merlo,"President, Chief Executive Officer &  Director",Health Care,Health Care: Pharmacy and Other Services,24,Woonsocket,RI,42.0028761,-71.5147839,184765,4.1,6622,24.5,95131,63114,CVS
8,Amazon.Com,566000,Jeffrey P. Bezos,"Chairman, President &  Chief Executive Officer",Retailing,Internet Services and Retailing,17,Seattle,WA,47.6062095,-122.3320708,177866,30.8,3033,27.9,131310,700668,AMZN
9,At&T,254000,Randall L. Stephenson,"Chairman, President &  Chief Executive Officer",Telecommunications,Telecommunications,24,Dallas,TX,32.7766642,-96.7969879,160546,2,29450,127,444097,218946,T
10,General Motors,180000,Mary T. Barra,Chairman &  Chief Executive Officer,Motor Vehicles &  Parts,Motor Vehicles and Parts,24,Detroit,MI,42.331427,-83.0457538,157311,5.5,3864,141,212482,50972,GM
11,Ford Motor,202000,James P. Hackett,"President, Chief Executive Officer &  Director",Motor Vehicles &  Parts,Motor Vehicles and Parts,24,Dearborn,MI,42.3222599,-83.1763145,156776,3.3,7602,65.4,257808,44244,F
12,Amerisourcebergen,19500,Steven H. Collis,"Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Health Care,24,Chesterbrook,PA,40.0756627,-75.4590816,153144,4.3,364.5,74.5,35317,18938,ABC
13,Chevron,51900,Michael K. Wirth,Chairman &  Chief Executive Officer,Energy,Petroleum Refining,24,San Ramon,CA,37.7799273,-121.9780153,134533,25.1,9195,0,253806,217845,CVX
14,Cardinal Health,40400,Michael C. Kaufmann,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Health Care,24,Dublin,OH,40.0992294,-83.1140771,129976,6.9,1288,9.7,40112,19726,CAH
15,Costco,182000,W. Craig Jelinek,"President, Chief Executive Officer &  Director",Retailing,General Merchandisers,24,Issaquah,WA,47.5301011,-122.0326191,129025,8.7,2679,14,36347,82687,COST
16,Verizon,155400,Lowell C. McAdam,Chairman &  Chief Executive Officer,Telecommunications,Telecommunications,24,New York,NY,40.7127753,-74.0059728,126034,0,30101,129.3,257143,197497,VZ
